analysis,selected_term
A_heroin_lifetime_users,(Intercept)
A_heroin_lifetime_users,EDUHIGHCAT_f2
A_heroin_lifetime_users,EDUHIGHCAT_f3
A_heroin_lifetime_users,EDUHIGHCAT_f4
A_heroin_lifetime_users,ECONOMIC_STATUS_INDEX
A_heroin_lifetime_users,EMPLOYMENT_INDEX
A_heroin_lifetime_users,MENTAL_HEALTH_INDEX
B_heroin_or_cocaine_lifetime_users,(Intercept)
B_heroin_or_cocaine_lifetime_users,drug_profile_hcHeroin only lifetime
B_heroin_or_cocaine_lifetime_users,drug_profile_hcHeroin + Cocaine lifetime
B_heroin_or_cocaine_lifetime_users,ECONOMIC_STATUS_INDEX
B_heroin_or_cocaine_lifetime_users,ECONOMIC_ASSISTANCE_INDEX
B_heroin_or_cocaine_lifetime_users,IRINSUR4_fNo health insurance
B_heroin_or_cocaine_lifetime_users,CATAG3_f26-34
B_heroin_or_cocaine_lifetime_users,CATAG3_f35-49
B_heroin_or_cocaine_lifetime_users,CATAG3_f50+
B_heroin_or_cocaine_lifetime_users,IRSEX_fFemale
B_heroin_or_cocaine_lifetime_users,MENTAL_HEALTH_INDEX
C_heroin_cocaine_meth_lifetime_users,(Intercept)
C_heroin_cocaine_meth_lifetime_users,drug_profile_hcmMeth only lifetime
C_heroin_cocaine_meth_lifetime_users,drug_profile_hcmHeroin only lifetime
C_heroin_cocaine_meth_lifetime_users,drug_profile_hcmCocaine + Meth lifetime
C_heroin_cocaine_meth_lifetime_users,drug_profile_hcmHeroin + Cocaine lifetime
C_heroin_cocaine_meth_lifetime_users,drug_profile_hcmHeroin + Meth lifetime
C_heroin_cocaine_meth_lifetime_users,drug_profile_hcmAll three lifetime
C_heroin_cocaine_meth_lifetime_users,EDUHIGHCAT_f2
C_heroin_cocaine_meth_lifetime_users,EDUHIGHCAT_f3
C_heroin_cocaine_meth_lifetime_users,EDUHIGHCAT_f4
C_heroin_cocaine_meth_lifetime_users,ECONOMIC_STATUS_INDEX
C_heroin_cocaine_meth_lifetime_users,EMPLOYMENT_INDEX
C_heroin_cocaine_meth_lifetime_users,IRINSUR4_fNo health insurance
C_heroin_cocaine_meth_lifetime_users,CATAG3_f26-34
C_heroin_cocaine_meth_lifetime_users,CATAG3_f35-49
C_heroin_cocaine_meth_lifetime_users,CATAG3_f50+
C_heroin_cocaine_meth_lifetime_users,IRSEX_fFemale
C_heroin_cocaine_meth_lifetime_users,MENTAL_HEALTH_INDEX
